canon_hash,group_size,representative_kept,collapsed_ids
43b0f18321d125ec3ac8ea4eae2db137d8dd236d28a7ae535bd7def4b9df9b32,42,307,464;471;535;2764;2873;3093;3706;3866;4611;4837;5966;6117;7333;7334;7619;7905;8113;8126;8158;8182;8263;8419;8678;9303;9516;10470;12078;12154;13682;13894;13905;14297;14778;14804;14822;14845;14850;15841;18089;19046;19715
c32d74bef902f98f579225a28ccf806d1f8f11519e9097c05a148d3a03140adb,33,276,642;1322;1398;1535;2821;2995;3138;3935;5166;6567;6827;6948;7358;8080;8616;9606;9665;10513;10816;11975;12447;14249;14761;15336;15596;16177;16540;17210;18850;19019;19151;19760
37d1fa3c1382f8ec2478e1e019c336e73898c16603286843456d6a76f41d2ca4,30,121,126;316;353;2061;2945;3602;3642;3804;3828;3899;4441;4700;5096;5730;6003;7344;8173;8212;9179;9223;9280;9616;11228;12193;13743;17355;18726;18854;19737
55e01552427ebf1147649cf484d732f70d7b7cfb42d994537794eb6204937d86,30,411,780;2133;2761;4039;4794;5397;5978;6136;6946;7512;7523;7547;8043;8200;8600;8647;9253;9560;9943;9963;10880;11317;12306;12537;15400;17724;18917;19647;19831
1f672cfc433ed09b4f555ff0d37147fb6b5d1b2816bf91ab9a47a5ccb41209f8,29,1165,2186;2894;3681;4999;5697;6262;8037;8842;9677;10658;11993;12288;12730;12829;13136;13486;14759;15782;16231;16581;17105;17155;18620;18630;19773;20056;20304;20427
c6e7cac9ae866f565d40b548b5ae002812afcb864c7ebe21445baf10eb3dd923,28,502,513;565;862;1183;1206;1233;2226;3822;3906;5809;6131;6505;6624;6760;6865;6973;12114;12937;13722;15867;16128;16141;17964;17993;18644;18685;21326
03da37ae08c1ed2ce6973b1170f0fc1beaf1ca84d5bd6205f9715e73c90969e4,28,1482,1603;3942;4117;5706;5725;6693;7644;7866;9542;13018;13374;13471;15462;16651;17225;18454;19555;19962;20099;20369;21921;21980;22007;22021;22071;22155;22243
2541b07faf47b30728df6a4dcaca0d8a14756f4c418071d5b17fc9b3eca540cf,26,2222,2428;2445;3123;3592;4615;4745;5791;6895;7170;8047;9533;9861;10577;10647;10989;14555;14558;14563;15991;16590;17386;17483;19188;19661;19799
e528b45555646e5da712ae16da3a8e7bb155fcef9934c1cafa82640d321a2a55,26,5632,6689;7585;7845;8178;8325;8995;9030;9415;11355;11560;12022;13219;13595;13659;13757;13806;14225;14956;15057;16387;18295;18750;19340;20097;20452
a1d59d39e661c366dff3a3cfe7069fcb8076174bd506db5938dc10a9dc09794d,25,300,1991;2201;2274;2806;3795;3923;4633;5001;5824;6030;7475;8623;9319;9669;9949;9996;10511;12934;14020;15517;16021;16098;16450;16700
46ed70a751e35fe8c9c8dbfeace76036fc3e976a257eab6904f21dfe9a1e98ae,24,119,335;4503;4727;6676;7137;7144;8197;8823;9190;10233;10402;12453;14538;15967;17265;17809;20397;21127;21259;21301;21391;21425;21572
5e4e3cf3891c00eab874012aa072b0e090d21d361c3e4dfbf41d723b409fd3b6,23,63,656;2594;5475;6277;7268;7900;8030;8154;8457;8528;8546;9829;9852;9955;10662;10793;10992;12933;15404;17669;17699;19453
7821431b80a8de707c9a3b46fc8208ddf60d6bf13794b88b6dd39ffad627a4da,23,317,4735;5152;6905;7718;7967;8449;9994;10667;10723;12468;13684;13997;14058;15319;16000;16003;16973;17614;17852;19114;19667;19732
9d5cd30f5cd6f6916ac3ed5d83f29f7f8daaa2e5b5f2ae4e1519ef37a2f43ae7,22,1276,1290;1426;2181;2491;2967;3455;4143;6528;7284;8049;8246;9544;9722;9773;12521;15371;16172;16675;16915;17039;19054
0d4a18f37e38ca44faa5eccd54953eba56b907381bef97743269810c97a9ad71,22,1401,1500;2503;3649;3790;3913;4519;4986;7083;7471;7520;7903;8242;10509;15548;17104;17184;17611;17945;18874;19099;19602
074d3e41e1576c3908eac37a58ce50288ca15b1ae6dca98af29b4157778521cb,22,1519,2289;5366;6220;7141;7229;7591;7899;7968;8310;8771;10069;11694;11837;12578;13506;13540;14602;15928;17685;18553;19437
a466c0c5ad47e19d427a371df7c8c909606fdd90e04e15dfcadc83d7473c236d,19,661,1138;2607;6194;6917;7489;9443;11275;11673;13747;14010;14252;17894;18114;20325;21842;22012;22086;22138
32c25c3255967a97fc7a0cb6a0e9ba89e089eaa52375cb19ebb6e56c735c99f0,18,24,1579;3178;4202;5063;8124;10642;12232;13746;15029;15864;16742;19055;20278;20474;20998;21072;21499
f181063da27458c5eecb77119e125a95bbe7a68182e8bf17e8bc1a89c666f21b,17,168,2314;3477;5167;6307;6811;8651;8654;8721;9585;9679;9760;9897;10074;10784;12247;19622
af59b3a07e941eb95e01a95017aca1133bd0d21c676fbce8012188f6b74c737b,17,268,413;609;3876;5019;5733;5818;6375;7836;8765;9278;9746;16856;17119;17221;17388;19131
704ddf941266d394cb0b763b54c2cec5e8331c5a9ead5ef62edfeb9396b82a07,17,1652,2034;4892;4968;5542;6500;6850;8805;10771;11709;12167;13742;14294;14821;16815;17270;18980
e5fc751cd53d1918fef20d38adc0e4d4aa35878efea175286f03e41a920b9348,17,4625,5130;5137;5465;6297;7840;9215;9953;10481;12850;12938;12954;13345;14772;17717;18063;18065
6450530293fd683a9a46cf2551732d17b226d7b245f24990cc3bb40654e4dc25,17,6170,13683;18249;22269;22272;22273;22289;22299;22302;22304;22305;22311;22317;22320;22322;22323;22324
28f791b03700877fc05410a04bcd0f0ecd0cac584aa040271800849b464734c3,17,22263,22275;22277;22280;22284;22285;22287;22293;22295;22298;22303;22306;22307;22310;22316;22319;22325
30be10663aca48acd6452e98bb1adb33e1255a22d1d4fce9e1f7d047fa5631f5,16,731,1265;3888;5986;6638;7401;7907;8255;9577;10599;10729;10951;14893;17278;19469;19592
43a498ad67b59d1128492c8f9a89d53f44f6f1982350cb014a4e77015632ef95,16,3990,5369;6561;6574;7130;7217;11297;12587;13258;13450;15280;15486;15804;18558;19964;22065
440152443c5c9e58acbc8dc64f59780df0d10cd3fbe93e0b6813be90eabce349,15,32,105;522;1187;2802;6563;6938;7816;8096;10354;10476;10975;17839;18976;19293
9fbb72c54a9ca6e6bf77ce2943c2cb4d5fc114df1f225a015a618d8558023689,15,378,3608;5450;6036;8425;9548;9619;15859;17130;17439;17538;18190;18663;19142;19774
e47583dd50f07112ad30edad9384f0c6385e2913d5356d936cfbe09cb399c480,15,3686,4473;5904;8170;8572;8611;10452;11199;13733;13780;16149;16577;17280;18835;19564
5bd8a987ab90414eb62f78356d93e21781801eba9c0fcff0a3bad4d634975b05,14,289,4130;4218;4769;6777;11164;11352;13630;14657;14710;15219;15572;19195;19968
758bef6cb7938d75be8e7210d85d14e4b6e234125b0bba7f7ec9b9e38ca598aa,14,657,3671;5390;5971;6970;10399;10604;15452;15678;18214;18529;18810;19866;19878
a775553e165df07d51d0ba55101b6af430316c5d8d370ee45a6990fc3b0f1111,14,959,6164;7343;7819;9461;10588;11620;13030;14343;15414;16076;16268;20959;21671
280dd5dde5c700048fbc21d72642b72418f12332d9bf4f6704a46942c7d5a5ef,14,1034,1648;1857;2284;4091;10478;11149;12807;13063;13885;17430;18981;20510;21427
98c85c96453fa5ba24fd95e81a3d457ce6740eecc34519905421d4fa8eb4796b,14,1084,1599;3687;4954;5814;8969;12090;13487;14308;16644;18181;18537;20797;22070
21e62f77f86014254a4d229812c90c5f2182a065ccf66a45dbc1d7f9d26b73d6,13,175,1640;1698;1766;4178;5507;6591;7191;7453;8908;9847;13616;18469
774f04796a3e5bd42efea72a4ae2b60567eb4a93f941f952e5bfe3c8d6c7ef32,13,412,557;3868;5404;7353;7894;8195;8751;12111;15345;17607;17624;18743
c56a7b102f0a06e0c941824b1c89747dedc6346f3bb4576615f29c73fc859b7f,13,456,1275;1552;3524;4586;4899;7006;7648;9218;9281;11197;14870;19501
bde30c3f94e4261b59d68788d57258e20204e239ae8a68a7bb5d6a8e59fc5589,13,847,1163;3846;4838;6382;9894;10073;12033;12654;15930;18641;18797;19427
e9bf33c3c80e3618ee2adec9f140ed7eb821f43dd5def46cf5c811a60a9028a3,13,910,1922;2984;3325;4104;4628;9208;13352;13792;14151;14738;16486;22297
b079783b2310d0dedd8dd607cadf267acb9fe53a8f718bb81407f766a138ac27,13,1214,2922;3698;3772;5886;8991;11701;12570;14133;18796;20970;21339;21537
ad545faa2715706767278fc2dc2cae41de8b13892430418048c1ecf92ef5878d,13,1392,4783;5235;8092;8240;9932;10243;12882;13789;17454;17470;17509;18676
83f56edb3954eda0c772891421d4bb38c735a440172138afcd7e5fed3f92e47f,13,2431,3896;4848;4952;6283;9185;9714;9929;10124;13819;15846;17343;18593
7aaf296f3e5a7accb258ab3884b4588425ef7996bcdad357a790be74ba0b53f0,13,2519,4129;6658;6726;11344;13197;18349;19620;20893;21795;21830;21837;22213
b1fa28955267473d7fbbc0419dc37e7f2774b3a57236b06935b2100b9d4e1be0,13,2965,3214;7992;8137;8435;11835;14546;17708;19242;20120;20350;20392;20822
8215b938473659ffaea1f76d55416bac7a467ce4c00a930a0a0f0c00c46db4b7,12,144,2059;2219;2640;3707;6826;6853;8140;8635;9237;11165;13715
fd4c2d26034b5f9e8276b1dac56fd94b79bbcc54a15e52fd07a4cd82727a0bcc,12,458,1225;4515;6806;7089;9670;9685;10611;10800;11279;11409;15937
bc23e823e68a27041953f506357a2b16651acc1764b1f4a69853c8ea96bc5540,12,509,2935;2968;3150;5736;7033;7638;9575;10497;17584;18621;19482
4e346b18f6caaedf79c731b9f8919895af44fa54df4d9920b5039a6b1462088d,12,644,1347;1432;1581;1949;3508;4649;5854;5944;11252;11351;12106
c0e1797bf04d0f30ad42c6641579dcc6b760ca2a899a18b09f53c40f74f3bc98,12,655,760;5427;8787;12655;14429;14469;15437;15686;17185;18218;20088
182bd5d610a66ca5ffa532e6a0dfe47e756c43409ff701576a05b9260770529a,12,2698,3684;6086;7583;9944;10791;11274;16204;16561;17805;18647;19528
70e9d4ba1e71033a7d9f6b409c3e7e5cc40c5ca614cab9231a724ccc5ab2b679,12,2975,4707;6143;11180;13317;13523;14838;15481;16370;17366;18686;20116
43c39b79468af5f2d5ae25d4443972501b89c91590cf5327abed9d13233451f3,12,3124,3798;3975;4847;5901;7081;12968;13934;13948;14780;17480;19783
b3c9b303db27805c91cbe863e367a5c4082059ca9a75ab44e1f0cc19327b66ae,12,6447,8899;9055;9432;13892;14339;14375;15050;15115;15651;15831;16810
652172dc75437bb6319184376ff695e0fa746276fe977504afef066c0064ad49,11,41,1317;3744;5470;8760;13936;14004;16553;17226;17772;19212
a187d68cc72e4b691d9cd9d178385a424deb092a66d9256ff79d32ee9bdcb36c,11,351,436;1253;1301;4550;5807;10140;10834;11054;11184;14814
5710af5cad99bf5d64e2c4722532e7135db7a279e8761a11dac74742a7a2a557,11,467,4156;4481;5030;5053;5160;7036;9729;17152;17495;19078
dcde39a35f23b9204afc947dd25e03ca8e40cbc597a005ab57d7ec923794dc31,11,744,787;6956;8656;9801;10183;10683;12544;15593;15672;19121
b699d754c71a3a0e23e2fdd1a18a0a42cfe40eb8f28851d8d15b2f7fbf88b085,11,6235,7003;9092;9973;11890;13560;13776;15118;16471;18866;21528
5930c6f0d77f0b069f9c6ac7dc4503ec09e31af416a4ce5d30a9bc25d8737433,10,256,770;1980;3619;4672;13791;15327;18603;19563;19870
51b125aae0e91977919e887463a626c6b1943922d9803677b9a9d56a22f250e2,10,727,2719;6943;17248;18993;20352;20587;20650;20738;21893
39a2741192457e04c758e90fa713117d9551a5a87c74c242ba7fb0ab2d019333,10,2359,6137;7084;11256;11836;12190;12297;14384;16239;17169
a22ec3552c3b1d3802ca66919f23dd7ab7cfc7a8ccd0d63bc88042de62e6679c,10,3423,3443;4384;10334;11064;12635;14256;15989;18208;19208
52032b219d77aedb78cae6639899f0cc4783bacc47ceae61f29d97845c3341bc,10,6321,7037;10149;12105;12355;12572;18309;20095;20197;21975
562fb2c442344fec108f907b38f63dfb5eaec18b752d95ffe9e0af42cb9a6bef,10,20727,21063;21071;21237;21313;21340;21493;21538;21691;21705
7f33452bd803ac7b9b203c83a37855bd67cad783674b5fa8643dc066e8d1fa4f,9,243,1542;2025;5600;9226;9288;11308;14008;18577
2eaf7ba18e044d70f4000e2d92753f70475253f0d973929dced6c407f11db90e,9,2897,3189;4215;7171;11702;11963;14816;16218;17651
dfbbd4ee1125f2c410ad74116cb1c12e7c618982cc4b61cf42284e95e4340852,9,6482,10651;13388;13597;15133;19764;21800;21928;22173
0d8e46cedafba4d5470a696efa5d44794e03f07f6f48a8c971eee0e87fdf0c36,8,569,2009;3530;5849;8219;9234;18804;19186
4b4320b219178df0bd68dc8e2bc363f20ca0cefa3f51bb0973bc477d41477ff4,8,572,3547;3677;7327;8551;9898;14002;19646
662dd3f580c2b6ec0d1aee90729141ee4bc1ab904362e13728722b1e6f377e05,8,768,1356;1374;1975;3589;10986;12074;16166
708b218509fe1edf381cb93d966206d746f94d1fe16d789a4ca9574db0c283a0,8,1616,3065;7186;12819;13239;16347;19068;20155
da678905d04e9abc1c3bd470158d864cf3577c17ee7c75a991569734ad81ca32,8,1635,1871;1913;2288;5498;15419;19810;19957
7479abbf9ac2d2773c637b0678b26033dafe41f031306ed050c5529ab2d59f79,8,1637,2831;13213;20594;20974;21181;21285;21799
b28deaa4963f2c905c9db84ee95a899bddf237c26936ab5fe6dbd991fa1215c4,8,2925,5933;6847;6921;10454;10518;18914;19305
783d5adeb70b0daf5fc2a6c829b2e6f0786f1c588629de0d2cdaedd4babb6967,8,3328,4245;6608;9177;12002;13414;14503;15098
877b51f4df5c51a9f20f89ca492f4041da7b75e94869a8639871b7bff3961048,8,3480,7984;12292;16599;19436;20569;21156;21560
ed25b14d369ecd25cace9a36afad81621dc1e693df6ad23ae1f66b687138ce93,8,3590,3985;5347;8286;9342;9463;12469;16400
514ee7cd17bcb9089e4dc4b4a7efdf33cb06ea3aadcc7d7a80a9248ec3a8e59e,8,4212,5325;12317;14656;14735;16639;16686;18706
265ec5f7ca83958bf330712985a0d8e08279810cdb156005b850290252da526b,8,5106,5588;13854;14418;14810;16299;18424;19329
11c305acd349dff72adcc3942abac14538f47596ff13745116c13246750978ee,8,5280,5406;6337;13251;13515;14013;16682;17959
fcb704a4c4fc2fc73273eb13f8e496b2340f921749d999c1b0f2b8b3e72801cc,8,5457,7104;10615;11018;12025;14067;15630;18887
478c2cafc8b3e2e8ed06bbef5d23eb32de9e8239bcc042c411e1fc3f68a4727a,8,5650,6789;7775;12265;12747;13859;14875;17211
fe8860710879a977371a60f6fb3dac00bf8a406cda911935c200f233585c7f4b,8,6221,6831;13226;13626;16360;18191;19178;21289
376fde09f809768ffb26fc9edc2e5029d5aaf9ed0fb57b38ce0bfe4f21992e4e,8,6878,7211;8789;8858;13303;16433;17797;18522
cc710f87722f4b2e994f925550608f691d0cae4c176406838f6ac0fd4cc37293,8,6893,8174;14374;15396;16739;19268;21724;22096
8dac28d1a4dedc4aa66341b53c73c0a85dceccb3d817268a19d68900772cbe2d,8,6991,8324;12235;19874;20980;21206;21286;21520
b67f543e0519a85f4954c8c48a8e5d49306d37b3490166d701877963a0773939,8,8564,12854;13749;14598;18277;19216;20564;21762
d1b745df37ba5f6fc0f58f9185d9871b5c29c608f7bcf394a4654f519ce5f2e4,8,11223,11512;11669;13398;14512;15031;16257;20519
3416e4ca4549e93c3ede4c0fb20bbfa5a25199735b6e11005141925820680833,7,590,5158;7154;9202;12511;15165;18299
422ca7e7306f818de717905e9e8bd5e1ee96b3e95312e30980f7d44c74cedd28,7,667,7146;8001;13768;14687;17085;18158
2c2d68bd38fef0f626db55addcf7f613c7447b5840e0dc2717f071bf6727741c,7,754,1397;6864;9284;11052;16211;16721
09dec90236932b34b0e7a02b6b7fcd68a58d4dc9f7cf951625c6d9e43835e83e,7,813,2533;5268;11528;13554;15179;19335
d2282fde6e5f7416623b7ddfc917f57b97bfba88963517226e8247ea30df12d1,7,872,3034;3097;5017;9227;15920;19518
a85a3b0899410c117b67e5b252a53334684bcda81e99af3b9b95361b9fff15f3,7,1238,2989;9051;11378;12298;14117;16281
86975e238bdb7478831923f9de0679629644e4a3fbf765767c1e8205f6601954,7,1501,2160;7510;7590;8438;8462;18973
f4da2d5bcf27226765e717a1d2b750a7f6ab67be084dc60f70ef753d9e438bd0,7,2784,3044;15120;17715;19365;19685;19892
5de2bbfb8b21e546bdd8165e13caa9d227a0f9a7814e52e2afeb87320dde879e,7,2898,5324;13241;13728;14224;15773;16542
7aee98eba9a66c9c30455ff85fc94c941e6bb5deb34cbab3ad452f8e7e4f2edf,7,3360,6006;7053;7056;9538;13313;19389
e4ad045b9b228c2ed01c8b8a6628b075c82771b628e0fcd4e08ce390e1dfb87b,7,3612,4990;7478;10360;18101;18764;19053
cecc2e3858e43bb2c2f254ff14c03a045bdd9d258b9076306d8a3258ee96735a,7,4068,6353;10472;10589;11983;12197;18565
fe7c60dd02309c3b07bcbb8d5039b9e62cca05264d26d40af918104179ebe3c3,7,4607,8593;11240;11262;13419;13620;16842
7862cc1e18ee376e91eeeeba84d9d4092304d77ea11e230b23013eb9114c3d2a,7,5519,8938;11368;11526;11658;11842;20092
2e43903f787cf8828f48f9b57ffbc795db2168086601a63505444450d3fe3e6a,7,5558,11189;11363;12370;14017;14175;14981
753257efdcfe26b73465c309571721e7167ff904607be7f32753f166c18fbdc5,7,6001,6064;8392;10737;12524;12585;12898
9f03ce3a14332367bc479966c5fe3bee18ee1744925d952b3bc4e090c1f5129d,7,6187,6794;7296;7691;12156;18588;20895
7ebc0d69662d94cce9f32b8dbb231956aad2ad4037c23f6d30296744ad053afc,7,6700,7937;9262;12695;13602;17764;18402
46e4e4a45777a8f59d02c98cb577267ffc5153773cecad86059c4b2b370ed4fe,7,8624,13645;14559;16300;17928;19261;20971
c3f0ac5d0a8ec694c054da554d5c36c028c4965350fc82f8ee54efb33665643f,7,8879,13511;14756;16707;20055;21732;22327
7e363abdbc0dacd3639ec360e4e605db77ed7fd5c2fdc88de38d2214b2023fcc,6,323,1097;3155;9550;14307;17578
a1cb356b06306106fe04f9c9a4fbe4171042117c227c375406df582623470d75,6,474,678;7732;9876;16518;19215
74765c50bad53c8848c4b8129e775a9b28305085d5d8e56bb0a4060527d22d7f,6,544,2207;3666;16104;18210;19849
c21f0c47744be02677bc10a791a773abe494735a8ba20d0de29eeb2a7203c9ba,6,638,679;3576;12202;17354;19339
b8f3c8f756cb0b2f47ec8bffd8a0738a11faacce189399c01b921fc19e4e9c56,6,653,3080;6599;6767;13852;19642
509bb01c6df1b75d9bd1758d6b26d38e216f13ad325f83d61f5e20cd58dbcb03,6,984,1375;9182;13146;13184;20279
d5d25c4631a9b7014a0bda430a4202c9215424d00c6bf802d282a28754f2e80c,6,1197,9326;10200;12929;16024;16515
3b57b3f51609534b5631573b35e93232ded818f2f5eb2a8a122d4b022d9bfa0d,6,1140,2571;8326;9127;14213;14525
d7a808751087682be3cd39a105db08c913c8ae780ada4a6fd8eb5eb5860f17cf,6,1172,2005;2117;3662;13813;19421
54c8d1fbb4e59b0f93dd4669d1768e84f6e16e3b8510854e1475e25a8528c1be,6,1184,2696;4049;4136;6512;7345
2e3df2857eda832f600b78404c23e3e3ce3e09833be2e8ba9f6d315684383a6d,6,1354,1532;3359;6838;10356;14586
aeabfd34510027014e99de63b1009ec2c9f8eb0e01b50773cda26859efcba535,6,1369,2199;2631;10370;12923;17097
3549753f6147b6a15cee2168f01367f54759cedbce3732f8f483d4e1f8ec9bc7,6,1408,2977;4278;6800;7881;11221
2aa040b1cbd9fa397b3e1ef648115b2c9e3113f0280a19275714895cc29e533c,6,1562,2950;12588;15715;17410;20396
6fcf46fcf679ba93594e3f6bd015bb4b2ad5b7e819db683d25fd9d0a73ba468a,6,1680,4093;6323;13067;13181;15122
75464aa9c9cf0fc6c0383a0d0de2653e8f2ae175538463c20461dee0d3596443,6,2233,3386;6977;15339;16094;18902
2594bdd18fe9231e58453940476cc4a3bd6da1762bb43908f433a223b430ee71,6,2509,2848;12360;16882;16991;17893
2f6d3846e9d5ec14a2caae0c1e77bd4ad422acfb96e7864b50d71a1fc96a8fea,6,3059,4781;6670;18223;18838;19135
2d14dad1c156c622671209b6bcff7a3f27296495031a01cdbfafa776797d8690,6,3069,4343;15079;17392;18222;21731
8bb0e9f74788d524762227e90a6c438db996747578a9e28b7b8ca36e40ccceab,6,3183,5664;14636;15925;20543;21002
3e9801a3f07ec447910a6230efedf932e421a4dafbbe0b9994948ca688627fd4,6,3264,4047;9299;13384;15087;20168
37ba983a00b0587ea3e443e3c1567dc1087b5a2071c5600da02956f3020c8454,6,3259,10391;13177;13500;13521;16328
9a8d2ab2ee444d4ea5321138a8f5078c88ea68849ca147dc0bb46cf0223b51c0,6,3651,7055;9539;12095;12785;14411
440a1e2812950ff8bfb1861429ba83a3edecc0b098462a50d6a6c161150c798f,6,3968,6058;13192;14103;20194;21080
c9ac8fdd05c424605b86aa95ea66e40be834a58d19e5e55512787937ba89a8a0,6,4820,5176;7280;7743;8504;12518
7962d4ee4a1fd201a20e13dc91e551d804be44565f617fbdd4813e7a109a9bdd,6,6697,17183;17445;18598;19221;21187
130e323126747d4076191b6a038c7fe369209f3ae41b9ac2e8e4527eddbbd4af,6,11547,12538;14873;16573;17323;19260
27d95305022bea23d6487bf9c238206f3ada17aeb949e664defe5cc1cf89a372,6,11685,14488;14913;15143;20185;21109
057d58e6e6ca4979e292a79e58fe9472b7b3e60ce91297410accfb65b77aea77,6,12295,13224;19481;21821;21862;22054
bea6dd2aee133b784aa1d473b8b7b33e989393830f0219e7687f6ab27005f686,6,12322,13691;14770;17346;18608;19397
57a5ecd0ec540d5659eb574d36bda76e230ac8503746aae31c81c341efc2e67a,6,12659,14379;14380;18132;20867;21193
111819040d7317f31cccd3f3a329ca596f1670e41ba12c14ee95dfd226892cce,5,25,8363;13469;14107;21792
