contractID,Reentrancy,Access Control,Arithmetic,Unchecked Return Values,DoS,Bad Randomness,Front Running,Time manipulation
buggy_20510_TOD,0,1,0,0,0,0,1,0
buggy_4843_TOD,1,1,0,0,0,0,1,0
buggy_2632_TOD,1,1,0,0,1,0,1,0
buggy_8547_TOD,0,1,0,0,0,0,1,0
buggy_16590_TOD,1,1,0,0,1,0,1,0
buggy_7737_TOD,1,1,1,1,1,0,1,0
buggy_21730_TOD,1,0,0,1,1,0,1,1
buggy_16157_TOD,1,1,0,0,0,0,1,0
buggy_6932_TOD,0,1,0,0,0,0,1,0
buggy_5960_TOD,0,1,0,0,0,0,1,0
buggy_19273_TOD,0,0,0,0,0,0,1,0
buggy_9616_TOD,1,1,0,1,0,0,1,0
buggy_12219_TOD,1,1,0,1,0,0,1,1
buggy_12865_TOD,1,1,0,0,0,0,1,1
buggy_19239_TOD,0,0,0,0,0,0,1,0
buggy_10467_TOD,0,1,0,0,0,0,1,0
buggy_8583_TOD,0,1,0,0,0,0,1,1
buggy_3148_TOD,0,1,0,1,0,0,1,0
buggy_2752_TOD,0,1,0,0,0,0,1,0
buggy_14866_TOD,0,1,0,0,1,0,1,0
buggy_438_TOD,0,1,0,0,0,0,1,0
buggy_9832_TOD,0,0,1,0,0,0,1,0
buggy_16856_TOD,0,0,0,0,0,0,1,0
buggy_19992_TOD,0,1,0,0,1,0,1,0
buggy_12584_TOD,0,1,0,0,1,0,1,0
buggy_15472_TOD,1,1,1,0,0,0,1,1
buggy_8612_TOD,0,1,0,0,0,0,1,1
buggy_10024_TOD,1,1,0,0,1,0,1,0
buggy_5418_TOD,1,1,0,0,1,0,1,0
buggy_138_TOD,0,1,0,0,0,0,1,0
buggy_7947_TOD,1,1,1,0,0,0,1,0
buggy_18906_TOD,1,1,1,1,0,0,1,0
buggy_14654_TOD,0,0,0,0,0,0,1,0
buggy_7739_TOD,0,1,1,0,0,0,1,1
buggy_4928_TOD,0,0,0,0,1,0,1,0
buggy_769_TOD,0,1,1,1,1,0,1,0
buggy_9778_TOD,1,1,1,0,1,0,1,0
buggy_9870_TOD,0,0,0,0,0,0,1,0
buggy_17878_TOD,0,1,0,0,0,0,1,0
buggy_4908_TOD,0,1,1,0,1,0,1,1
buggy_19393_TOD,1,1,0,0,1,0,1,1
buggy_3577_TOD,1,1,1,1,1,0,1,1
buggy_19122_TOD,1,0,0,0,0,0,1,0
buggy_3039_TOD,1,0,1,0,0,0,1,0
buggy_2688_TOD,1,1,1,0,0,0,1,0
buggy_4108_TOD,1,0,0,0,0,0,1,1
buggy_1517_TOD,1,1,0,1,0,0,1,0
buggy_7562_TOD,0,1,0,0,0,0,1,1
buggy_16115_TOD,0,1,0,0,0,0,1,1
buggy_12202_TOD,0,0,0,0,0,0,1,0
buggy_4552_TOD,0,1,1,0,0,1,1,1
buggy_1566_TOD,1,1,1,0,0,0,1,1
buggy_12366_TOD,0,0,0,0,0,0,1,0
buggy_15659_TOD,1,1,0,0,0,0,1,1
buggy_9650_TOD,1,1,0,1,0,0,1,0
buggy_5483_TOD,1,1,0,0,1,1,1,0
buggy_6133_TOD,0,1,0,1,0,0,1,0
buggy_8618_TOD,1,1,1,0,1,0,1,1
buggy_11079_TOD,1,1,0,0,1,0,1,0
buggy_19121_TOD,1,1,0,0,1,0,1,0
buggy_3662_TOD,0,1,1,0,0,0,1,0
buggy_10614_TOD,0,1,1,0,0,0,1,1
buggy_3813_TOD,1,1,1,1,1,0,1,0
buggy_19750_TOD,0,1,0,0,0,0,1,1
buggy_5390_TOD,0,1,0,0,0,0,1,0
buggy_19335_TOD,1,1,1,1,1,0,1,1
buggy_6346_TOD,1,1,1,0,1,0,1,1
buggy_18682_TOD,1,1,1,0,0,0,1,1
buggy_7081_TOD,0,0,0,0,0,0,1,0
buggy_17816_TOD,1,1,1,0,0,0,1,0
buggy_4731_TOD,1,1,1,1,1,0,1,0
buggy_5872_TOD,0,1,0,0,0,0,1,0
buggy_2998_TOD,0,0,0,0,0,0,1,0
buggy_9657_TOD,1,1,0,0,0,0,1,0
buggy_19234_TOD,0,1,1,0,0,0,1,0
buggy_15481_TOD,0,0,1,0,0,0,1,0
buggy_2406_TOD,0,0,0,0,0,0,1,0
buggy_1944_TOD,1,1,0,0,0,0,1,1
buggy_19902_TOD,0,0,1,0,0,0,1,0
buggy_472_TOD,0,1,0,1,0,0,1,0
buggy_10520_TOD,0,1,0,0,0,0,1,0
buggy_12922_TOD,0,1,0,0,0,0,1,0
buggy_2072_TOD,1,1,0,0,1,0,1,0
buggy_1251_TOD,0,0,1,0,0,0,1,0
buggy_218_TOD,1,1,1,0,1,0,1,0
buggy_2182_TOD,0,1,0,0,0,0,1,0
buggy_534_TOD,0,0,0,0,0,0,1,0
buggy_19151_TOD,0,1,1,0,0,0,1,0
buggy_7667_TOD,1,1,0,0,0,0,1,0
buggy_8069_TOD,1,1,1,0,1,0,1,1
buggy_11109_TOD,0,0,1,0,0,0,1,0
buggy_6868_TOD,0,0,0,0,0,0,1,1
buggy_6049_TOD,1,0,0,0,1,0,1,0
buggy_7050_TOD,0,1,0,0,0,0,1,0
buggy_6931_TOD,0,1,0,0,0,1,1,0
buggy_19793_TOD,0,1,1,0,0,0,1,1
buggy_19758_TOD,0,1,0,0,0,0,1,0
buggy_20669_TOD,0,1,1,0,0,0,1,0
buggy_2606_TOD,1,1,0,1,0,0,1,0
buggy_414_TOD,1,1,0,1,1,0,1,0
buggy_16985_TOD,1,1,1,0,0,0,1,1
buggy_5235_TOD,1,0,0,0,0,0,1,0
buggy_8377_TOD,0,1,0,0,0,0,1,0
buggy_86_TOD,1,1,0,0,1,0,1,0
buggy_4480_TOD,1,1,1,0,0,0,1,0
buggy_19928_TOD,1,1,1,1,1,0,1,0
buggy_17205_TOD,1,1,0,0,1,0,1,0
buggy_10648_TOD,1,1,0,0,0,0,1,1
buggy_1228_TOD,0,0,0,0,0,0,1,0
buggy_10347_TOD,1,1,1,0,1,0,1,0
buggy_5182_TOD,1,1,0,0,1,0,1,0
buggy_151_TOD,1,1,0,0,0,0,1,0
buggy_4834_TOD,1,1,1,1,0,0,1,0
buggy_15848_TOD,0,1,0,0,0,0,1,0
buggy_1311_TOD,1,0,0,0,0,0,1,0
buggy_18697_TOD,1,1,0,0,0,0,1,0
buggy_17935_TOD,0,1,1,0,0,0,1,0
buggy_1463_TOD,1,0,1,0,0,0,1,0
buggy_2171_TOD,0,1,1,0,0,0,1,0
buggy_2830_TOD,0,1,0,0,0,0,1,0
buggy_10256_TOD,0,1,0,0,0,0,1,1
buggy_18916_TOD,0,0,0,0,0,0,1,0
buggy_15392_TOD,0,1,0,0,0,0,1,0
buggy_5139_TOD,1,1,0,0,0,0,1,0
buggy_16052_TOD,1,0,0,0,0,0,1,0
buggy_8099_TOD,1,1,0,1,0,0,1,0
buggy_7318_TOD,0,1,0,1,0,0,1,0
buggy_9757_TOD,1,1,1,0,0,0,1,0
buggy_18050_TOD,0,1,0,0,1,0,1,1
buggy_5760_TOD,0,1,0,0,0,0,1,0
buggy_20923_TOD,0,0,0,0,0,0,1,0
buggy_13554_TOD,1,1,1,1,1,0,1,1
buggy_6896_TOD,1,1,1,0,0,0,1,1
buggy_5771_TOD,1,1,1,0,0,0,1,0
buggy_3017_TOD,1,1,1,0,1,0,1,0
buggy_718_TOD,0,0,0,0,0,0,1,0
buggy_10978_TOD,0,1,0,0,0,0,1,0
buggy_20678_TOD,0,1,0,0,0,0,1,0
buggy_12721_TOD,0,1,1,1,0,0,1,0
buggy_13977_TOD,1,1,1,0,1,0,1,1
buggy_1391_TOD,0,1,0,0,0,0,1,0
buggy_839_TOD,1,1,0,0,1,1,1,0
buggy_9516_TOD,1,1,0,0,0,0,1,0
buggy_21862_TOD,0,1,1,1,0,0,1,0
buggy_14829_TOD,1,0,0,0,0,0,1,0
buggy_12479_TOD,1,1,0,1,0,0,1,1
buggy_18899_TOD,0,1,0,0,0,0,1,0
buggy_7063_TOD,1,1,1,0,0,0,1,0
buggy_9536_TOD,1,1,1,0,1,0,1,0
buggy_17485_TOD,1,0,1,0,0,0,1,0
buggy_6025_TOD,1,0,1,1,1,0,1,0
buggy_6127_TOD,1,1,0,1,0,0,1,0
buggy_16521_TOD,1,1,1,0,1,0,1,0
buggy_19229_TOD,0,0,0,0,1,0,1,0
buggy_7649_TOD,1,0,0,0,0,0,1,0
buggy_15537_TOD,0,1,0,0,0,0,1,0
buggy_10291_TOD,1,0,0,0,0,0,1,1
buggy_10032_TOD,0,1,1,0,0,0,1,0
buggy_6461_TOD,1,1,0,1,1,0,1,0
buggy_16848_TOD,0,1,0,0,0,0,1,0
buggy_1399_TOD,0,1,0,1,0,0,1,0
buggy_6276_TOD,0,1,0,0,0,0,1,0
buggy_18672_TOD,0,1,0,0,1,0,1,0
buggy_19441_TOD,1,1,1,0,0,0,1,1
buggy_14812_TOD,0,1,0,0,0,0,1,0
buggy_10858_TOD,1,1,0,0,0,0,1,0
buggy_18633_TOD,1,1,0,1,0,0,1,1
buggy_3524_TOD,0,1,0,0,0,0,1,0
buggy_8394_TOD,1,1,1,1,1,1,1,0
buggy_9953_TOD,0,1,1,0,0,0,1,0
buggy_2127_TOD,1,1,0,0,0,0,1,0
buggy_5742_TOD,0,1,0,0,0,0,1,0
buggy_4666_TOD,0,1,0,0,0,0,1,0
buggy_16577_TOD,1,1,0,0,1,0,1,0
buggy_4931_TOD,0,0,0,0,0,0,1,0
buggy_12066_TOD,1,1,0,1,0,0,1,0
buggy_15466_TOD,0,0,1,0,0,0,1,0
buggy_17309_TOD,1,1,0,0,1,0,1,0
buggy_1350_TOD,0,1,1,0,1,1,1,1
buggy_6586_TOD,1,1,0,0,0,0,1,1
buggy_3706_TOD,1,1,1,0,0,0,1,0
buggy_11225_TOD,0,1,0,0,0,0,1,0
buggy_10603_TOD,0,1,0,0,0,0,1,0
buggy_1208_TOD,1,1,0,0,0,0,1,1
buggy_2388_TOD,0,1,1,0,0,1,1,1
buggy_7991_TOD,0,0,0,0,0,0,1,0
buggy_481_TOD,1,1,1,0,1,1,1,0
buggy_4911_TOD,1,0,1,0,0,0,1,0
buggy_14025_TOD,1,1,0,0,1,0,1,1
buggy_4912_TOD,0,0,0,0,0,0,1,1
buggy_6064_TOD,0,1,0,0,0,0,1,0
buggy_5930_TOD,1,1,1,0,1,0,1,0
buggy_9935_TOD,1,1,1,0,1,0,1,1
buggy_9165_TOD,0,1,0,0,0,0,1,0
buggy_884_TOD,1,0,1,1,0,0,1,1
buggy_8480_TOD,0,0,0,0,0,0,1,0
buggy_3703_TOD,1,1,1,0,0,0,1,0
buggy_3827_TOD,1,1,1,0,1,0,1,1
buggy_3733_TOD,1,1,0,0,0,0,1,0
buggy_16181_TOD,0,1,0,0,0,0,1,0
buggy_2712_TOD,0,1,0,0,1,0,1,1
buggy_6033_TOD,1,0,0,0,1,0,1,0
buggy_21611_TOD,0,1,1,0,0,0,1,0
buggy_4781_TOD,0,1,1,0,0,0,1,0
buggy_17093_TOD,0,1,0,0,1,0,1,0
buggy_7822_TOD,0,1,0,0,1,0,1,0
buggy_5035_TOD,0,0,0,0,0,0,1,0
buggy_5605_TOD,1,1,1,1,0,0,1,1
buggy_394_TOD,1,1,0,0,0,0,1,0
buggy_5810_TOD,0,1,0,0,0,0,1,1
buggy_21380_TOD,0,0,1,1,1,0,1,0
buggy_17063_TOD,0,1,0,0,0,0,1,0
buggy_10943_TOD,1,1,0,0,1,0,1,0
buggy_2387_TOD,0,0,0,0,0,0,1,0
buggy_6338_TOD,0,1,0,0,1,0,1,0
buggy_10142_TOD,0,1,1,0,0,0,1,1
buggy_18845_TOD,0,1,0,1,0,0,1,0
buggy_11095_TOD,0,1,0,0,0,0,1,0
buggy_19275_TOD,1,1,1,1,0,0,1,1
buggy_541_TOD,0,1,0,0,0,0,1,1
buggy_5963_TOD,1,1,1,0,0,0,1,0
buggy_10300_TOD,1,1,1,0,1,0,1,0
buggy_477_TOD,0,0,1,0,0,0,1,0
buggy_8181_TOD,0,1,0,0,1,0,1,0
buggy_2110_TOD,0,1,0,0,0,0,1,0
buggy_16122_TOD,1,1,1,0,0,0,1,1
buggy_10132_TOD,0,0,0,0,0,0,1,0
buggy_6885_TOD,1,1,1,1,0,0,1,0
buggy_4365_TOD,0,1,1,0,1,0,1,0
buggy_9280_TOD,1,1,0,1,0,0,1,0
buggy_14739_TOD,0,0,0,0,0,0,1,0
buggy_4170_TOD,1,1,0,0,0,0,1,0
buggy_5364_TOD,0,1,0,0,0,0,1,1
buggy_18792_TOD,1,1,1,0,1,1,1,0
buggy_1416_TOD,0,1,0,0,0,0,1,0
buggy_19622_TOD,0,1,0,0,0,0,1,0
buggy_17695_TOD,0,0,0,0,0,0,1,0
buggy_5433_TOD,1,1,0,1,1,0,1,1
buggy_2045_TOD,1,1,1,0,1,0,1,1
buggy_10295_TOD,1,1,0,0,1,0,1,0
buggy_18886_TOD,1,1,0,0,0,0,1,0
buggy_17885_TOD,1,0,0,0,1,0,1,1
buggy_18878_TOD,1,1,0,0,1,0,1,1
buggy_7291_TOD,0,1,0,0,0,0,1,0
buggy_4098_TOD,0,1,0,0,1,0,1,0
buggy_5118_TOD,1,1,1,0,1,0,1,1
buggy_7375_TOD,0,1,0,0,0,0,1,0
buggy_403_TOD,1,1,0,1,0,0,1,0
buggy_16002_TOD,1,1,0,0,0,1,1,0
buggy_19718_TOD,1,1,1,0,1,0,1,1
buggy_6185_TOD,0,1,0,0,0,0,1,0
buggy_15707_TOD,1,1,0,1,0,0,1,0
buggy_3613_TOD,1,1,0,0,0,0,1,0
buggy_7732_TOD,1,1,0,0,0,0,1,1
buggy_18759_TOD,0,1,1,0,0,0,1,1
buggy_807_TOD,0,1,1,0,0,0,1,1
buggy_6339_TOD,1,1,1,0,1,0,1,1
buggy_10475_TOD,0,1,0,0,0,0,1,0
buggy_5145_TOD,1,1,1,1,1,0,1,0
buggy_12245_TOD,0,1,0,0,0,0,1,0
buggy_5353_TOD,1,1,0,1,0,0,1,1
buggy_1582_TOD,1,0,0,0,1,0,1,0
buggy_3454_TOD,0,1,1,0,0,0,1,0
buggy_19789_TOD,0,1,0,0,0,0,1,1
buggy_10723_TOD,0,0,0,0,0,0,1,0
buggy_7951_TOD,1,1,0,0,0,0,1,0
buggy_18717_TOD,0,1,0,0,0,0,1,0
buggy_3027_TOD,1,1,0,0,1,0,1,1
buggy_204_TOD,0,1,0,1,1,0,1,1
buggy_17001_TOD,0,1,0,0,0,0,1,0
buggy_16067_TOD,0,0,0,0,0,0,1,0
buggy_12962_TOD,0,0,0,0,0,0,1,0
buggy_7614_TOD,0,1,0,0,0,0,1,0
buggy_2286_TOD,0,0,1,1,0,0,1,0
buggy_9585_TOD,0,1,0,0,0,0,1,0
buggy_14299_TOD,1,1,1,1,0,0,1,0
buggy_18669_TOD,1,1,0,1,1,0,1,0
buggy_15448_TOD,1,1,0,0,0,0,1,0
buggy_16846_TOD,0,0,1,0,0,0,1,1
buggy_3416_TOD,0,0,0,0,0,0,1,0
buggy_2907_TOD,0,0,0,0,1,0,1,0
buggy_12069_TOD,1,1,0,0,0,0,1,1
buggy_2500_TOD,1,1,0,0,0,0,1,0
buggy_14272_TOD,1,0,1,0,0,0,1,0
buggy_2139_TOD,1,1,0,1,1,0,1,0
buggy_19612_TOD,1,0,0,0,0,0,1,0
buggy_9741_TOD,1,0,0,0,0,0,1,0
buggy_16564_TOD,1,1,1,1,1,0,1,1
buggy_8595_TOD,1,1,0,0,0,0,1,0
buggy_12901_TOD,0,1,1,0,0,0,1,1
buggy_15317_TOD,0,0,0,0,0,0,1,0
buggy_7296_TOD,1,1,0,1,0,0,1,0
buggy_469_TOD,0,1,0,0,1,0,1,1
buggy_8156_TOD,0,1,0,0,0,0,1,0
buggy_7109_TOD,1,1,1,0,1,1,1,0
buggy_19320_TOD,0,0,0,0,0,0,1,0
buggy_8212_TOD,1,1,0,1,0,0,1,0
buggy_1466_TOD,0,1,0,0,0,0,1,0
buggy_21989_TOD,0,1,1,1,1,0,1,0
buggy_11160_TOD,1,1,1,1,1,0,1,1
buggy_7436_TOD,0,1,0,0,0,0,1,0
buggy_1528_TOD,1,1,0,1,0,0,1,0
buggy_7949_TOD,0,1,1,0,0,0,1,0
buggy_18231_TOD,0,0,1,0,0,0,1,0
buggy_3862_TOD,0,0,0,0,0,0,1,0
buggy_12843_TOD,1,1,0,0,0,0,1,1
buggy_5906_TOD,0,1,1,0,0,0,1,0
buggy_8712_TOD,0,1,0,0,0,0,1,0
buggy_11746_TOD,1,1,1,1,1,0,1,1
buggy_3575_TOD,0,1,0,0,0,0,1,1
buggy_4338_TOD,0,1,0,0,1,0,1,0
buggy_3620_TOD,1,1,0,0,1,1,1,1
buggy_8591_TOD,0,1,1,0,0,0,1,0
buggy_131_TOD,1,1,0,0,0,1,1,0
buggy_2543_TOD,1,1,1,0,0,0,1,0
buggy_6452_TOD,1,0,1,0,0,0,1,0
buggy_5020_TOD,0,1,1,0,0,0,1,1
buggy_8517_TOD,0,1,0,0,0,0,1,0
buggy_8084_TOD,0,1,0,0,0,0,1,1
buggy_13661_TOD,1,1,1,0,1,0,1,1
buggy_378_TOD,1,1,0,0,0,0,1,0
buggy_7878_TOD,0,1,1,0,1,0,1,1
buggy_9899_TOD,0,0,0,0,0,0,1,0
buggy_19926_TOD,0,1,0,0,0,0,1,1
buggy_7971_TOD,0,1,1,0,0,0,1,0
buggy_1244_TOD,0,1,1,0,1,0,1,1
buggy_15327_TOD,1,1,0,1,0,0,1,0
buggy_19929_TOD,1,1,0,1,0,0,1,0
buggy_10207_TOD,1,1,0,0,1,0,1,0
buggy_9213_TOD,0,0,1,0,0,0,1,0
buggy_3519_TOD,0,0,0,0,0,0,1,0
buggy_1248_TOD,1,1,0,0,0,0,1,0
buggy_17692_TOD,1,0,0,0,1,0,1,1
buggy_19264_TOD,0,0,0,0,0,0,1,0
buggy_15901_TOD,1,1,1,0,0,0,1,1
buggy_9924_TOD,1,0,0,0,0,0,1,1
buggy_16509_TOD,1,1,0,0,0,0,1,0
buggy_5891_TOD,0,0,0,0,0,0,1,0
buggy_17889_TOD,0,0,0,0,0,0,1,0
buggy_16382_TOD,0,0,1,1,0,0,1,0
buggy_3029_TOD,1,1,0,0,0,0,1,0
buggy_9859_TOD,0,1,1,0,0,0,1,0
buggy_14900_TOD,0,0,0,0,0,0,1,1
buggy_15871_TOD,0,0,1,0,0,0,1,0
buggy_2721_TOD,0,1,1,0,0,0,1,0
buggy_4438_TOD,1,1,1,0,1,0,1,0
buggy_3436_TOD,1,1,0,0,0,1,1,0
buggy_11977_TOD,0,1,0,0,0,0,1,0
buggy_2348_TOD,1,1,0,0,0,0,1,0
buggy_6119_TOD,0,1,1,0,0,0,1,0
buggy_3073_TOD,1,1,1,1,0,0,1,1
buggy_7438_TOD,0,1,1,0,0,0,1,0
buggy_15962_TOD,1,1,0,1,1,0,1,1
buggy_19515_TOD,0,1,0,0,0,0,1,0
buggy_7745_TOD,0,0,0,0,0,0,1,1
buggy_5432_TOD,1,0,0,0,0,0,1,0
buggy_8530_TOD,1,1,0,0,0,0,1,0
buggy_8633_TOD,1,1,1,0,1,0,1,1
buggy_14498_TOD,1,1,1,1,1,0,1,1
buggy_8300_TOD,0,1,0,0,1,0,1,1
buggy_10770_TOD,0,0,0,0,0,0,1,0
buggy_20895_TOD,1,1,0,1,0,0,1,0
buggy_628_TOD,0,1,0,0,0,0,1,0
buggy_10340_TOD,0,0,0,0,0,0,1,1
buggy_8148_TOD,0,1,0,0,0,0,1,0
buggy_3337_TOD,0,1,0,1,0,0,1,0
buggy_14982_TOD,1,1,1,0,1,0,1,1
buggy_5386_TOD,1,1,1,1,0,0,1,1
buggy_19875_TOD,1,1,0,0,0,0,1,0
buggy_6774_TOD,0,1,0,0,0,0,1,0
buggy_18463_TOD,0,0,0,0,0,0,1,0
buggy_21033_TOD,1,1,1,0,0,0,1,0
buggy_11805_TOD,1,1,0,0,0,0,1,0
buggy_6511_TOD,0,1,0,1,0,0,1,0
buggy_487_TOD,0,1,1,1,0,0,1,0
buggy_8721_TOD,0,1,0,0,0,0,1,0
buggy_10405_TOD,0,1,1,0,0,0,1,0
buggy_19114_TOD,0,0,0,0,0,0,1,0
buggy_8264_TOD,1,1,0,0,0,0,1,1
buggy_2116_TOD,1,1,1,0,1,0,1,0
buggy_3418_TOD,0,1,0,0,0,0,1,0
buggy_14015_TOD,1,1,0,0,0,0,1,1
buggy_18168_TOD,1,1,1,0,1,0,1,0
buggy_3861_TOD,1,1,0,0,0,0,1,0
buggy_7913_TOD,1,1,1,0,1,1,1,0
buggy_13952_TOD,0,1,1,0,1,0,1,1
buggy_19349_TOD,1,1,0,0,0,0,1,0
buggy_10569_TOD,1,1,0,1,0,0,1,0
buggy_14067_TOD,1,1,0,0,1,0,1,0
buggy_7787_TOD,1,1,0,1,1,0,1,0
buggy_15378_TOD,0,1,1,0,0,0,1,1
buggy_4247_TOD,0,1,0,0,0,0,1,0
buggy_569_TOD,0,1,0,1,0,0,1,0
buggy_4816_TOD,0,0,1,0,0,1,1,1
buggy_10879_TOD,1,1,0,0,1,0,1,0
buggy_17972_TOD,1,1,1,0,0,0,1,0
buggy_16736_TOD,1,0,0,0,0,0,1,0
buggy_19544_TOD,0,1,0,0,0,0,1,0
buggy_10114_TOD,0,0,0,0,0,0,1,0
buggy_7786_TOD,0,1,0,0,0,0,1,0
buggy_10457_TOD,0,1,1,0,0,0,1,0
buggy_19021_TOD,0,1,0,0,0,0,1,0
buggy_7377_TOD,1,1,0,0,1,0,1,0
buggy_8758_TOD,0,0,0,0,0,0,1,0
buggy_10296_TOD,1,1,1,1,1,1,1,0
buggy_11953_TOD,0,1,0,0,0,0,1,0
buggy_12492_TOD,1,1,1,0,0,0,1,0
buggy_9227_TOD,0,1,0,0,0,0,1,0
buggy_4997_TOD,0,0,1,0,0,0,1,1
buggy_7656_TOD,1,1,0,1,0,0,1,0
buggy_5840_TOD,0,1,0,0,0,0,1,1
buggy_7421_TOD,0,1,0,0,0,0,1,0
buggy_2314_TOD,0,1,0,0,0,0,1,0
buggy_7088_TOD,0,1,0,1,0,0,1,0
buggy_3957_TOD,0,0,0,0,0,0,1,0
buggy_13299_TOD,0,0,1,1,0,0,1,0
buggy_4674_TOD,0,1,0,0,0,0,1,0
buggy_2906_TOD,0,1,1,0,0,0,1,0
buggy_10470_TOD,1,1,0,0,0,0,1,0
buggy_3056_TOD,0,1,0,0,0,0,1,0
buggy_4744_TOD,0,1,0,0,0,0,1,0
buggy_3893_TOD,1,1,1,0,1,0,1,0
buggy_10329_TOD,1,1,0,0,1,0,1,0
buggy_4907_TOD,1,0,0,0,0,0,1,0
buggy_5877_TOD,0,1,0,0,0,0,1,0
buggy_4738_TOD,1,1,0,1,1,1,1,0
buggy_6626_TOD,0,0,1,0,0,0,1,0
buggy_5150_TOD,1,1,1,1,1,0,1,1
buggy_8908_TOD,0,1,1,1,1,0,1,0
buggy_3133_TOD,1,1,0,0,1,0,1,0
buggy_18363_TOD,0,1,1,1,0,0,1,0
buggy_6196_TOD,0,0,0,0,0,0,1,1
buggy_2065_TOD,1,1,1,1,1,0,1,1
buggy_9316_TOD,1,1,0,0,1,0,1,1
buggy_4739_TOD,1,1,0,0,1,0,1,1
buggy_9217_TOD,0,1,1,0,1,0,1,1
buggy_2477_TOD,1,1,1,0,0,0,1,0
buggy_6827_TOD,0,1,1,0,0,0,1,0
buggy_8166_TOD,1,1,1,0,0,0,1,0
buggy_10853_TOD,0,1,0,0,0,0,1,0
buggy_5393_TOD,0,1,0,0,0,0,1,0
buggy_18650_TOD,0,1,0,0,0,0,1,1
buggy_19142_TOD,0,1,0,0,0,0,1,0
buggy_11995_TOD,1,1,0,0,1,0,1,0
buggy_12108_TOD,0,1,0,0,0,0,1,0
buggy_14042_TOD,0,1,1,0,0,0,1,0
buggy_12148_TOD,1,0,0,0,0,1,1,1
buggy_7939_TOD,0,1,1,1,1,0,1,0
buggy_4619_TOD,0,1,0,1,1,0,1,0
buggy_14054_TOD,0,1,0,0,0,0,1,0
buggy_6756_TOD,1,1,0,0,0,0,1,1
buggy_9676_TOD,1,1,0,0,1,0,1,0
buggy_5979_TOD,0,1,1,0,1,0,1,1
buggy_4913_TOD,1,1,1,0,1,0,1,0
buggy_19535_TOD,0,1,1,0,0,0,1,0
buggy_9199_TOD,1,1,0,1,0,0,1,0
buggy_12599_TOD,0,1,0,0,0,0,1,0
buggy_17058_TOD,1,1,1,1,1,0,1,1
buggy_5167_TOD,0,1,0,0,0,0,1,0
buggy_15319_TOD,0,0,0,0,0,0,1,0
buggy_905_TOD,0,0,0,0,0,0,1,0
buggy_3796_TOD,1,0,1,1,1,0,1,1
buggy_8381_TOD,0,1,0,0,0,0,1,0
buggy_5778_TOD,1,1,0,0,0,0,1,0
buggy_15496_TOD,1,1,1,1,1,0,1,1
buggy_10957_TOD,1,1,1,0,0,0,1,1
buggy_1325_TOD,1,1,1,1,1,0,1,1
buggy_12195_TOD,0,1,0,0,0,0,1,0
buggy_4087_TOD,0,1,0,0,0,0,1,0
buggy_8883_TOD,0,1,0,0,0,0,1,0
buggy_6499_TOD,0,1,0,0,0,0,1,0
buggy_10091_TOD,1,1,0,0,0,0,1,0
buggy_1292_TOD,0,1,0,0,0,0,1,0
buggy_3478_TOD,1,1,0,0,0,0,1,1
buggy_10626_TOD,0,1,0,0,0,1,1,1
buggy_8410_TOD,1,1,0,1,0,0,1,0
buggy_7260_TOD,0,0,0,0,0,0,1,0
buggy_7473_TOD,0,1,0,0,0,0,1,0
buggy_18992_TOD,1,1,1,0,0,0,1,1
buggy_13595_TOD,0,1,0,0,0,0,1,0
